w3stress,w3stressmathp,w3stressamount,w3stressunder,w3stressscore,w3streefinish,w3wander1,w3wander2,w3wander3,w3wander4,rid
3,3,4,3,4,5,2,2,2,2,166670605
1,2,3,3,3,2,1,1,1,1,166774080
2,3,2,3,4,2,2,2,2,1,166989487
4,4,3,5,2,3,3,3,3,4,166846238
,,,,,,,,,,166794534
4,4,4,3,4,4,4,1,1,1,166660807
3,4,2,4,4,2,3,3,3,3,166568786
,,,,,,,,,,166585575
,,,,,,,,,,166580682
1,1,1,2,2,3,2,2,1,1,166841706
,,,,,,,,,,166857478
2,3,2,3,4,4,4,4,4,4,166581334
2,4,2,4,2,4,2,2,2,2,166774701
1,1,1,1,2,1,1,1,1,1,166700303
,,,,,,,,,,166857223
,,,,,,,,,,166709931
1,2,1,3,2,2,2,3,2,2,166707449
3,4,3,5,5,5,5,4,4,4,166857476
,,,,,,,,,,166855449
4,2,3,4,4,4,2,4,3,4,166988774
,,,,,,,,,,166643791
,,,,,,,,,,166575840
,,,,,,,,,,166841469
,,,,,,,,,,166580291
,,,,,,,,,,166570481
,,,,,,,,,,166907938
,,,,,,,,,,166845949
2,3,3,3,5,3,1,1,2,2,166587241
,,,,,,,,,,166578693
1,3,4,2,3,4,1,3,1,3,166569514
,,,,,,,,,,166568847
3,2,2,4,4,3,1,1,1,1,166583624
2,3,4,3,2,4,1,1,1,1,166858042
,,,,,,,,,,166791226
,,,,,,,,,,166791226
,,,,,,,,,,166791226
,,,,,,,,,,166791226
3,4,4,4,2,2,1,1,1,1,166765691
,,,,,,,,,,166689847
2,3,2,4,4,3,2,4,2,4,166841017
,,,,,,,,,,166580216
3,4,5,4,3,4,1,2,2,2,166843964
,,,,,,,,,,166848865
3,4,3,4,4,4,5,5,4,2,166840589
2,3,3,4,4,3,1,1,2,1,166709806
,,,,,,,,,,166838981
2,2,4,3,5,5,2,3,3,3,166579099
,,,,,,,,,,166651483
5,5,3,5,5,2,5,5,5,4,166571644
2,2,1,3,2,1,2,2,2,2,166585473
1,3,2,4,4,2,4,4,4,3,166932287
